bionicx-exec: running untraced pid=27093
libopencv-highgui410:arm64	4.10.0+dfsg-5	installed
libopencv-imgcodecs410:arm64	4.10.0+dfsg-5	installed
libopencv-imgproc410:arm64	4.10.0+dfsg-5	installed
libopencv-ml410:arm64	4.10.0+dfsg-5	installed
libopencv-objdetect410:arm64	4.10.0+dfsg-5	installed
libopencv-video410:arm64	4.10.0+dfsg-5	installed
libopenexr-3-1-30:arm64	3.1.13-2	installed
libopengl0:arm64	1.7.0-1+b2	installed
libopenjp2-7:arm64	2.5.3-2.1~deb13u2	installed
libopenmpt-modplug1:arm64	0.8.9.0-openmpt1-2+b3	installed
libopenmpt0t64:arm64	0.7.13-1+b1	installed
libopus0:arm64	1.5.2-2	installed
liborc-0.4-0t64:arm64	1:0.4.41-1	installed
liborcus-0.18-0:arm64	0.19.2-6+b1	installed
liborcus-parser-0.18-0:arm64	0.19.2-6+b1	installed
libotr5t64:arm64	4.1.1-6	installed
libp11-kit0:arm64	0.25.5-3	installed
libpam-modules:arm64	1.7.0-5	installed
libpam-modules-bin	1.7.0-5	installed
libpam-runtime	1.7.0-5	installed
libpam-systemd:arm64	257.13-1~deb13u1	installed
libpam0g:arm64	1.7.0-5	installed
libpango-1.0-0:arm64	1.56.3-1	installed
libpangocairo-1.0-0:arm64	1.56.3-1	installed
libpangoft2-1.0-0:arm64	1.56.3-1	installed
libpangomm-1.4-1v5:arm64	2.46.4-1+b2	installed
libpangoxft-1.0-0:arm64	1.56.3-1	installed
libpaper2:arm64	2.2.5-0.3+b2	installed
libpathplan4:arm64	2.42.4-3	installed
libpcre2-16-0:arm64	10.46-1~deb13u1	installed
libpcre2-32-0:arm64	10.46-1~deb13u1	installed
libpcre2-8-0:arm64	10.46-1~deb13u1	installed
libpcsclite1:arm64	2.3.3-1	installed
libpgm-5.3-0t64:arm64	5.3.128~dfsg-2.1+b1	installed
libpipeline1:arm64	1.5.8-1	installed
libpixman-1-0:arm64	0.44.0-3	installed
libplacebo349:arm64	7.349.0-3	installed
libpng16-16t64:arm64	1.6.48-1+deb13u5	installed
libpocketsphinx3:arm64	0.8+5prealpha+1-15+b4	installed
libpoppler-glib8t64:arm64	25.03.0-5+deb13u4	installed
libpoppler-qt5-1t64:arm64	25.03.0-5+deb13u4	installed
libpoppler147:arm64	25.03.0-5+deb13u4	installed
libpostproc58:arm64	7:7.1.5-0+deb13u1	installed
libpotrace0:arm64	1.16-2+b2	installed
libpq5:arm64	17.10-0+deb13u1	installed
libproc2-0:arm64	2:4.0.4-9	installed
libproj25:arm64	9.6.0-1	installed
libprotobuf-lite32t64:arm64	3.21.12-11+deb13u1	installed
libprotobuf32t64:arm64	3.21.12-11+deb13u1	installed
libproxy1v5:arm64	0.5.9-1	installed
libpsl5t64:arm64	0.21.2-1.1+b1	installed
libpugixml1v5:arm64	1.14-2	installed
libpulse0:arm64	17.0+dfsg1-2+b1	installed
libpython3-stdlib:arm64	3.13.5-1	installed
libpython3.13:arm64	3.13.5-2+deb13u3	installed
libpython3.13-minimal:arm64	3.13.5-2+deb13u3	installed
libpython3.13-stdlib:arm64	3.13.5-2+deb13u3	installed
libqhull-r8.0:arm64	2020.2-6+b2	installed
libqrencode4:arm64	4.1.1-2	installed
libqt5concurrent5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5core5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5dbus5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
libqt5gui5t64:arm64	5.15.15+dfsg-6+deb13u1	installed
